city,longitude,latitude
Stockholm,18.0710935,59.3251172
Uppsala,17.6387436,59.8586126
Göteborg,11.9670171,57.7072326
Gävle,17.1467019,60.6750132
Varberg,12.2502949,57.1057412
Uddevalla,11.9382855,58.3490555
Sundsvall,17.3071024,62.3907552
Hudiksvall,17.105575,61.7281607
None,7.540121,44.933143
Kiruna,20.302778,67.848889
Gällivare,20.25,67.3
Helsingborg,12.703706,56.0442098
Västerås,16.5463679,59.6110992
Malmö,13.0001566,55.6052931
Partille,12.1166649,57.7333362
Kristianstad,14.1566859,56.0293778
Hultsfred,15.8,57.4
Lerum,12.3,57.833333
Sundbyberg,17.9681359,59.3628802
Trelleborg,13.1461522,55.37592
Lund,13.1929449,55.7029296
Växjö,14.8094385,56.8787183
Högsby,16.0321284,57.1664483
Örkelljunga,13.2828212,56.2827878
Båstad,12.8607151,56.4267895
Ängelholm,12.8619375,56.2429224
Osby,14.083333,56.416667
Perstorp,13.366667,56.2
Hässleholm,13.733333,56.216667
Markaryd,13.6,56.55
Halmstad,12.8574827,56.6739826
Laholm,13.233333,56.5
Alvesta,14.5,56.916667
Tingsryd,14.966667,56.533333
Mullsjö,13.8,57.95
Värnamo,14.0410977,57.184902
Falköping,13.516667,58.2
Trollhättan,12.2908612,58.2827931
Skara,13.4397675,58.3846075
Lidköping,13.1576427,58.5037196
Skövde,13.8443792,58.3898453
Vimmerby,15.833333,57.683333
Ljungby,13.933333,56.85
Linköping,15.6245252,58.4098135
Norrköping,16.1903511,58.5909124
Mölndal,12.0153085,57.6564918
Eskilstuna,16.5051474,59.3717379
Jönköping,14.165719,57.7825634
Södertälje,17.6271663,59.1964289
Söderhamn,17.0607599,61.2998501
Nacka,18.2073591,59.3120997
Älmhult,14.116667,56.55
Lessebo,15.266667,56.766667
Emmaboda,15.5366179,56.6302659
Värmdö,18.583333,59.3
Lindesberg,15.25,59.666667
Upplands Väsby,17.916667,59.516667
Karlskrona,15.5866422,56.1621073
Solna,18.0013693,59.361367
Uppvidinge,15.666667,57.0
Kalmar,16.575102000807693,57.02784235
Vetlanda,15.167830505066155,57.36554305
Oskarshamn,16.4443478,57.2632811
Mönsterås,16.416667,57.066667
Falkenberg,12.4912926,56.904894
Hylte,13.25,56.95
Sävsjö,14.666667,57.333333
Borås,12.9407407,57.7210839
Västervik,16.6385035,57.7594186
Tyresö,18.333333,59.216667
Valdemarsvik,16.6,58.2
Luleå,22.1459535,65.5831187
Umeå,20.2630745,63.8256568
Örebro,15.2151181,59.2747287
Karlstad,13.5027631,59.3809146
Borlänge,15.4234561,60.4856426
Gislaved,13.45,57.25
