Maskulint kodade ord,Feminint kodade ord,Masculinecoded words,Femininecoded words
aktiv,anknyt,active,agree
aggress,artig,adventurous,affectionate
ambiti,anspråkslös,aggress,child
analytisk,ansvar,ambitio,cheer
atlet,barn,analytic,collab
autonomi,beroende,assert,commit
beslut,empati,athlet,communal
bestäm,engage,autonom,compassion
domin,femini,battle,connect
envis,förstå,boast,considerate
fientlig,glad,challeng,cooperat
frispråkig,gnäll,champion,cooperat
girig,känsl,compet,depend
hierarki,medlidande,confident,emotiona
hänsynslös,omtänksam,courag,empath
individ,lojal,decid,feel
intellekt,mild,decision,flatterable
intelligen,omhänderta,decisive,gentle
impulsiv,snäll,defend,honest
kraft,social kompetens,determin,interpersonal
kompetent,släktskap,domina,interdependen
ledare,smickra,dominant,interpersona
logik,stöd,,interpersonal
logisk,stött,fearless,interdependen
maskulin,sympati,fight,interpersona
modig,samarbet,force,kind
objektiv,tjat,greedy,kinship
självsäker,trevlig,headstrong,loyal
självständig,tillgiven,headstrong,modesty
självförtroende,tyst,hierarch,nag
åsikt,tillsammans,hostil,nurtur
,tillit,impulsive,pleasant
driva,lita,independen,polite
förkämpe,undergiven,individual,quiet
försvar,varm,intellect,respon
grym,ärlig,lead,sensitiv
hungrig,öm,logic,submissive
intellekt,entusias,objective,support
intelligen,inkluder,opinion,sympath
kämp,inklusi,outspoken,tender
leda,inkänna,persist,together
manlig,interperson,principle,trust
självgå,kvinn,reckless,understand
tjurig,stödj,selfconfiden,warm
tjurskall,stött,selfrelian,whin
utman,subjektiv,selfsufficien,enthusias
vass,vänlig,selfconfiden,inclusive
äventyr,ödmjuk,selfrelian,yield
,,selfsufficien,share
,,stubborn,sharin
,,superior,
,,unreasonab,
