,occupation.label,employer.name,description.text
11,Systemutvecklare/Programmerare,Academic Work Sweden AB,"Work with both programming and configurations within autonomous cars. This is a long-term role in a senior group where you will develop both your skillset and the next generation of data logging. 

OM TJÄNSTEN
Our client is working looking for a junior Data Acquisition Engineer who will work with configuration, validation and development of data logging in autonomous cars.

Our customer works closely with one of the world's largest car companies and today focuses his work on developing world-class software for their self-driving cars. 

Responsibilities include, but are not limited to:


* Data log development and configuration
* Validation and performance testing of data logging
* Software development for logging control


This role includes a lot of contact with stakeholders such as suppliers, other internal teams as well as external parties. You will be part of a small senior team, where you will be provided a thorough introduction

 You are offered


* A first step into a worldwide industry



As a consultant for Academic Work, we offer great opportunities for you to grow professionally, build your network and create valuable contacts for the future. 

VI SÖKER DIG SOM

* At the lowest a Bachelor's degree within a relevant field
* A professional proficiency in English, written and spoken

It is a plus if you also have knowledge in shell scripting and Javascript, but it is not a requirement.

 Other information


* Start: As per agreement
* Scope: Full time
* Location: Lindholmen, Central Gothenburg



We review the selection on an ongoing basis and the ad can be closed before the position is filled if we have moved on to the selection and interview phase."
12,Systemutvecklare/Programmerare,Academic Work Sweden AB,"Arbeta med både programmering och konfigurationer inom autonoma bilar. Detta är en långsiktig roll i ett seniort team där du kommer att utveckla både din kompetens och nästa generations dataloggning. Läs mer nedan!

OM TJÄNSTEN
Vår kund söker en junior Data Acquisition Engineer som kommer att arbeta med konfiguration, validering och utveckling av dataloggning i autonoma bilar.

Vår kund har ett nära samarbete med ett av världens största bilföretag och fokuserar idag sitt arbete på att utveckla mjukvara i världsklass för sina självkörande bilar. Mjukvaran bakom självkörande bilar är otroligt komplex och kräver en organisation med hundratals människor som dagligen arbetar med ett gemensamt mål.

Du kommer exempelvis jobba med:


* Dataloggutveckling och konfiguration
* Validering och prestandatestning av dataloggning
* Mjukvaruutveckling för loggningskontroll


Rollen kommer i första hand att bestå av cirka 50 % utveckling och 50 % konfigurationshantering. I denna roll ingår mycket kontakt med intressenter som leverantörer, andra interna team samt externa parter. Du kommer att ingå i ett litet seniorteam där du får en grundlig introduktion

 Du erbjuds


* Ett första steg in i en världsomspännande industri
* Möjlighet att arbeta i ett globalt sammanhang med kollegor med olika bakgrund


Som konsult för Academic Work erbjuder vi stora möjligheter för dig att växa professionellt, bygga ditt nätverk och skapa värdefulla kontakter för framtiden. Läs mer om vårt konsulterbjudande.

VI SÖKER DIG SOM
* Goda kunskaper i Python
* Som lägst kandidatexamen inom relevant område
* En professionell kunskap i engelska, i tal och skrift

Det är meriterande om du även har kunskaper inom Shell scripting och Javascript, men det är inget krav.

 Annan information


* Start: Enligt överenskommelse
* Omfattning: Heltid
* Plats: Lindholmen, Centrala Göteborg
* Rekryteringsprocessen hanteras av Academic Work och alla frågor gällande tjänsten hanteras av Academic Work.


Vi går igenom urvalet löpande och annonsen kan stängas innan tjänsten tillsätts om vi gått vidare till urvals- och intervjufasen."
17,Systemutvecklare/Programmerare,Academic Work Sweden AB,"We are looking for you who has a passion for programming and want to create products that make a real difference. If you want to work at the forefront of technology with C# development, this is the role for you - take the next step and apply for Winningtemp!

OM TJÄNSTEN
Here you get the opportunity to work with C# .NET development with new technologies in, for example, AWS and Docker.

Winningtemp's vision is to change how we have effective collaborations in the workplace. Through a solid scientific foundation, Winningtemp creates a platform for direct follow-up of the well-being and motivation of its customers' employees. By  ""measuring the temperature"" of their employees through AI-based software, customers can work both proactively and reactively to counteract stress and work for an improved work environment. This is done through a great understanding of the human perspective in development, with the focus placed on what benefits  the person behind the results.

In this film, Winningtemp describe how they create an impact on employee's wellbeing:



This recruitment process is handled by Academic Work and Winningtemp's wishes are that all calls and emails about the service go to
 Academic Work

ARBETSUPPGIFTER
On behalf of Winngtemp, Academic Work is looking for a developer with a genuine interest in programming who wants the opportunity to work with great agency in technologies such as:


* ASP.NET C#
* SQL Server
* Redis
* React
* AWS


At Winningtemp, your role will be adapted to your own interests and skills in the long run. As you progress, you might find yourself moving towards the front-end or maybe a more customer facing role? In close dialogue with your manager, you will progress in a company where personal development is a key in the culture.



VI SÖKER DIG SOM
* Has a relevant post-secondary education
* Has at least two years work experience of C#.NET-development


Winningtemp looks at your development and competence in the long term, so it is also an advantage if you already have knowledge of AWS, Docker, Source Code Management and Microservices, but this is not a requirement.

 Other information


* Start: As per agreement
* Scope: Full time
* Location: Central Gothenburg








We review the selection on an ongoing basis and the ad can be closed before the position is filled if we have moved on to the selection and interview phase.

INFORMATION OM FÖRETAGET
Winningtemp"
18,Systemutvecklare/Programmerare,Academic Work Sweden AB,"Vi letar efter dig som har en passion för programmering och vill skapa produkter som gör en verklig skillnad. Om du vill arbeta i framkant av tekniken med C#-utveckling är detta rollen för dig - ta nästa steg och ansök till Winningtemp!

OM TJÄNSTEN
Även om Winningtemp är ett etablerat varumärke, definierar de sig fortfarande som en start-up där du som anställd kan påverka både ditt eget arbete och i vilken riktning Winningtemp rör sig kraftigt. Här får du möjlighet att arbeta med C#.NET-utveckling med ny teknik i till exempel AWS och Docker.

Winningtemps vision är att förändra hur vi har effektiva samarbeten på arbetsplatsen. Genom en gedigen vetenskaplig grund skapar Winningtemp en plattform för direkt uppföljning av välbefinnande och motivation hos sina kundanställda. Genom att  ""mäta temperaturen""  för sina anställda genom AI-baserad programvara kan kunderna arbeta både proaktivt och reaktivt för att motverka stress och arbeta för en förbättrad arbetsmiljö. Detta görs genom en stor förståelse för det mänskliga perspektivet i utveckling, med fokus på vad som gynnar  personen  bakom resultaten.

I den här filmen beskriver Winningtemp hur de påverkar medarbetarnas välbefinnande:



Denna rekryteringsprocess hanteras av Academic Work och Winningtemps önskemål är att alla samtal och e-postmeddelanden om tjänsten går till Academic Work.

ARBETSUPPGIFTER
På uppdrag av Winngtemp, letar Academic Work efter en utvecklare med ett genuint intresse för programmering som vill ha möjlighet att arbeta med stor byrå inom teknik som:


* ASP.NET C#
* SQL Server
* Redis
* Reagera
* AWS


På Winningtemp kommer din roll att anpassas till dina egna intressen och färdigheter på lång sikt. Under din utveckling kan du se dig själv gå mer mot frontend eller kanske en mer kundinriktad roll? I nära dialog med din chef kommer du att utvecklas i ett företag där personlig utveckling är en nyckel i kulturen.

Anställningen är en direkt rekrytering, vilket innebär att delar av rekryteringsprocessen sker genom Academic Work, men du kommer att vara anställd direkt på Winningtemp

VI SÖKER DIG SOM
* Har en relevant eftergymnasial utbildning
* Har minst två års arbetserfarenhet av C#.NET-utveckling
* Obehindrade kunskaper i engelska, i både tal och skrift

Winningtemp tittar på din utveckling och kompetens över lång sikt, så det är också en fördel om du redan har kunskap om AWS, Docker, källkodshantering och mikrotjänster, men detta är inte ett krav.

 Annan information


* Start: Enligt överenskommelse
* Omfattning: Heltid, kontorstider
* Plats: Centrala Göteborg





* Rekryteringsprocessen hanteras av Academic Work och Winningtemps begäran är att alla frågor angående anställningen hanteras av Academic Work.


Vi granskar urvalet fortlöpande och annonsen kan stängas innan anställningen fylls om vi har gått vidare till urvals- och intervjufasen.

INFORMATION OM FÖRETAGET
Winningtemp"
20,Mjukvaruutvecklare,Academic Work Sweden AB,"Som ledande företag inom elektronikindustrin spelar Mycronics unika produkter och lösningar en viktig roll i utvecklingen av framtida teknologi. Kunderna är tillverkare av komplex elektronik inom t.ex. rymd, fordon, medicin och energi. Mycronic befinner sig just nu i en expansionsfas och för att göra denna resa möjlig söker de personer som vill vara med och utvecklas tillsammans med dem! Har du några års erfarenhet av utveckling inom C++ och vill arbeta på ett företag i absoluta framkant av elektronikindustrin är det hos Mycronic du ska vara!

OM TJÄNSTEN
Mycronic är ett svenskt bolag som i över 40 år har utvecklat och tillverkat utrustning för elektronik- och displaytillverkning och har idag kunder och distributörer i över 50 länder världen över. Med anledning av fortsatt tillväxt behöver de anställa ytterligare medarbetare till ett av deras mjukvaruteam inom High Flex-divisionen i Täby. R&D inom High Flex består i dagsläget av cirka 150 medarbetare och du kommer att tillhöra ett team om 8 medarbetare med varierad erfarenhet med fokus på utveckling av Mycronics Pick & Place-maskiner. Mycronic präglas av hög teknisk kompetens, nyfikna medarbetare och människor med passion för innovation.

För att trivas och lyckas i sitt jobb tror jag det är viktigt att känna sina teamkollegor. Vi jobbar mot samma mål, vilket innebär att vi hanterar såväl motgångar som medgångar tillsammans. 

Du erbjuds


* Ett företag som ser det som en självklarhet att du ska få din röst hörd, engagera dig och bidra med dina idéer och tankesätt
* Hos Mycronic arbetar personer från olika delar av världen, i olika åldrar och med olika erfarenheter vilket är något de ser som en styrka. Här blir du en del av ett företag med en öppen företagskultur där man hjälper och tror på varandra och för Mycronic är mångfald inte bara en konkurrensfördel utan också en viktig pusselbit för en innovativ och givande arbetsmiljö.
* En mentor som stöttar dig under din första tid – Vi tror att detta kommer ge dig bra förutsättningar att komma in i din nya roll och bidra till din utveckling inom företaget


Bringing tomorrow's electronics to life



ARBETSUPPGIFTER
Du kommer att arbeta tillsammans med både utvecklare och testare och din roll kommer, förutom samarbete med dina teamkollegor, även innebära samarbete med andra mjukvaruteam och avdelningar på Mycronic. Då Mycronic är ett globalt företag kommer du också ges möjlighet att skapa internationella kontakter runt om i världen.

Dina arbetsuppgifter kommer exempelvis att innebära:


* Ta emot och analysera produktkrav
* Anpassa och utveckla mjukvarufunktioner enligt kundbehov
* Delta i utveckling och förbättring av teknologi, metoder och verktyg för mjukvaruutveckling


Mycronic har en stor mjukvaruorganisation vilket kommer ge dig möjligheter att utveckla din kunskap inom flera olika områden inom datavetenskap – exempelvis mjukvaruarkitektur för robotik, maskininlärning, AI, optimering och Computer Vision på sikt kommer du också ha möjlighet att leda och coacha mer juniora kollegor.

VI SÖKER DIG SOM
* Har en högskole- eller civilingenjörsexamen inom datateknik, elektronik eller liknande


* Har några års erfarenhet av utveckling inom C++
* Har utvecklat i Linuxmiljö
* Har erfarenhet av hela utvecklingskedjan från kravhantering, design, testning, implementation och dokumentation
* Har mycket goda kunskaper i engelska


Övrig information


* Start: Enligt överenskommelse
* Omfattning: Heltid
* Placering: Täby

* Den här rekryteringsprocessen hanteras av Academic Work och Mycronics önskemål är att alla samtal och mail kring tjänsten går till Academic Work.
* Sök tjänsten genom att klicka på Ansök nedan. Vi går igenom urvalet löpande och annonsen kan stängas ner innan tjänsten är tillsatt om vi gått över till urvals och intervjufasen.
* OBS! Vi tar inte emot ansökningar via mail. Sök tjänsten genom att klicka på ”ansök här” nedan.


Rekryteringsprocessen

•   Telefonintervju med Academic Work

•   Tester (personlighetstest + problemlösningstest)

•   Djupintervju med Academic Work

•   Intervju med Mycronic

•   Referenstagning + beslut

INFORMATION OM FÖRETAGET
Läs mer om Mycronic på deras hemsida: https://www.mycronic.com/sv/"
23,Systemutvecklare/Programmerare,Academic Work Sweden AB,"Vi letar efter dig som har en passion och intresse för programmering och vill skapa produkter som gör en verklig skillnad. Om du vill arbeta i framkant av tekniken med C#-utveckling är detta rollen för dig - ta nästa steg och ansök till IOSoft!

OM TJÄNSTEN
IOSoft letar efter dig som kanske precis har gått en utbildning eller arbetar med projekt inom programmering på egen hand. För att trivas här kommer det naturligt för dig att du tar ansvar över ditt arbete, är självgående och tar egna initiativ i din programmering.

Arbetsgruppen består av totalt 17 personer som jobbar med drift, utveckling, administration och kommunikation. Varannan fredag avsätts tid för att utbilda sig inom något område som man är intresserad av eller har behov av att lära sig. Här blir du en del av en arbetsplats som verkligen månar om sina anställda.

Förutom att arbeta med ditt intresse har du även möjlighet att hitta vänner att utöva andra intressen med. Kanske hitta ett gäng att träna tillsammans med, hitta på någonting efter arbetstid eller åka med på roliga kickoffer!

Du erbjuds


* Kompetensutveckling och en kreativ miljö i nära samarbete med kollegor i liknande roller
* Möjligheten till att fortsätta att vidareutbildas på plats hos IOSoft


Som konsult för Academic Work erbjuder vi stora möjligheter för dig att växa professionellt, bygga ditt nätverk och skapa värdefulla kontakter för framtiden. Läs mer om vårt konsulterbjudande.

ARBETSUPPGIFTER
På uppdrag av IOSoft, letar Academic Work efter en utvecklare med ett genuint intresse för programmering som vill ha möjlighet att arbeta inom tekniker som:


* C# .NET: arbetar med .NET Core, Entity Framework och Blazor, men de flesta tekniker inom .NET kommer att stötas på.
* Databas: främst MSSql, men även lösningar som kör MySql.
* JavaScript: ramverk som Angular och Vue.


På IOSoft kommer din roll och dina kompetenser att anpassas till dina egna intressen och färdigheter på lång sikt. Under din utveckling kan du kanske se dig själv gå mer mot en mer kundinriktad roll? I dialog med din chef kommer du att utvecklas i ett företag där personlig utveckling är en nyckel i kulturen.

VI SÖKER DIG SOM
* Har erfarenhet av C#.NET


* Har goda kunskaper i svenska och engelska, såväl muntligt som skriftligt, då det krävs i det dagliga arbetet


Meriterande är även om du har erfarenhet av:
* Angular
* Vue
* Blazor
* T-SQL

 Som person är du:


* Problemlösande
* Ansvarstagande
* Lagspelare


Övrig information


* Start: Omgående eller enligt överenskommelse
* Omfattning: Heltid
* Placering: Tanumshede, Prästgårdsvägen 6
* Rekryteringsprocessen hanteras av Academic Work och kunds önskemål är att alla frågor rörande tjänsten hanteras av Academic Work.


Vi går igenom urvalet löpande och annonsen kan stängas ner innan tjänsten är tillsatt om vi gått över till urvals- och intervjufasen.

INFORMATION OM FÖRETAGET
IOSoft finns där för IT-support, hosting- och serverdrift samt skräddarsydda systemlösningar. Tillsammans utmanar och ifrågasätter dem befintliga lösningar för att kunna effektivisera och förbättra arbetssätt. Läs mer om IOSoft här!"
26,Systemutvecklare/Programmerare,Academic Work Sweden AB,"Drömmer du om att arbeta med den senaste tekniken, är kundfokuserad och har ett hjärta som bankar lite extra för serverless? Då har du nu möjligheten att få din dröm uppfylld. TIQQE är ett ungt bolag på frammarsch som är här för att stanna och behöver nu utöka styrkan med utvecklare! Vill du vara med på deras resa och arbeta med fullstackutveckling – sök redan idag då vi arbetar med löpande urval!

OM TJÄNSTEN
TIQQE är ett specialistbolag när det kommer till molnbaserade lösningar med AWS som plattform. Här jobbar man med utveckling av kundernas digitala webbtjänster och hjälper företag att flytta sin befintliga IT-miljö upp i molnet. Du kommer att tillhöra ett företag som brinner för den senaste tekniken och att leverera ett stort kundvärde.

På TIQQE arbetar man i kundorienterade team som består av en blandning mellan juniora och seniora fullstack-utvecklare, alla med ett stort driv och hög ambition. Tillsammans med ditt team arbetar ni i olika kundprojekt med en Tech Lead som närmsta arbetsledare. Du kommer att utgå från ditt hemmakontor och sammarbeta med kollegor utspridda på olika orter. Läs med om dina framtida kollegor HÄR.

Detta är en direktrekrytering och du kommer att anställas direkt av TIQQE. Rekryteringsprocessen hanteras av Academic Work och deras önskemål är att alla frågor rörande tjänsten hanteras av Academic Work.

Du erbjuds:


* En chans att bredda dig där du får utlopp för både din tekniska kunskap och dina ledarskapsegenskaper genom utbildning
* En utsedd mentor i teamet under din introduktion för att säkerställa att du får goda förutsättningar att lyckas i din roll
* En arbetsplats med entreprenöriell anda i kombination med en prestigelös och familjär kultur


ARBETSUPPGIFTER
Som utvecklare på TIQQE kommer du arbeta med systemutveckling i AWS (Amazon Web Services) som är en molnbaserad utvecklingsplattform. Dina arbetsuppgifter innefattar programmering i såväl front- som backend, du får därmed möjligheten att bli en vass fullstackutvecklare! Systemspråken du kommer att arbeta i är Typescript eller Go.

Du kommer till exempel att arbeta med:


* Digitala tjänster i form av webbapplikationer
* Kontinuerlig optimering av AWS infrastruktuktur
* Integrationer


VI SÖKER DIG SOM
* Har erfarenhet av backend/frontend


* Har erfarenhet av Git
* Har ett stort intresse för serverless
* Goda kunskaper i engelska i både tal och skrift


 Meriterande om du har kunskap av:


* Go
* Serverless
* TypeScript
* NodeJS
* AWS Lamdba
* Distributed systems
* Andra programmeringsspråk
* Agilt arbete


Vi söker dig som är:


* Uthållig
* Samarbetsvillig
* Problemlösande
* Ansvarstagande


Som person har du ett stort kundfokus och en vilja att skapa mervärde då du hjälper kunderna att förverkliga deras idéer. Din kommunikativa förmåga är mycket god och en av dina drivkrafter är att alltid sträva efter utveckling. Som person är du ödmjuk och har inga problem med att ge din kollega en klapp på axeln och hjälper gärna till om det behövs. Samtidigt är du inte rädd att argumentera för dina åsikter och säga ifrån om det behövs.

Övrig information


* Start: Januari 2022
* Omfattning: Heltid med flex
* Placering: Sundsvall, remote
* Rekryteringsprocessen hanteras av Academic Work och TIQQES önskemål är att alla frågor rörande tjänsten hanteras av Academic Work.


Vi går igenom urvalet löpande och annonsen kan stängas ner innan tjänsten är tillsatt om vi gått över till urvals- och intervjufasen.

INFORMATION OM FÖRETAGET
Läs mer om TIQQE här."
27,Systemutvecklare/Programmerare,Academic Work Sweden AB,"Drömmer du om att arbeta med den senaste tekniken, är kundfokuserad och har ett hjärta som bankar lite extra för serverless? Då har du nu möjligheten att få din dröm uppfylld. TIQQE är ett ungt bolag på frammarsch som är här för att stanna och behöver nu utöka styrkan med utvecklare! Vill du vara med på deras resa och arbeta med fullstackutveckling – sök redan idag då vi arbetar med löpande urval!

OM TJÄNSTEN
TIQQE är ett specialistbolag när det kommer till molnbaserade lösningar med AWS som plattform. Här jobbar man med utveckling av kundernas digitala webbtjänster och hjälper företag att flytta sin befintliga IT-miljö upp i molnet. Du kommer att tillhöra ett företag som brinner för den senaste tekniken och att leverera ett stort kundvärde.

På TIQQE arbetar man i kundorienterade team som består av en blandning mellan juniora och seniora fullstack-utvecklare, alla med ett stort driv och hög ambition. Tillsammans med ditt team arbetar ni i olika kundprojekt med en Tech Lead som närmsta arbetsledare. Du kommer att utgå från ditt hemmakontor och sammarbeta med kollegor utspridda på olika orter. Läs med om dina framtida kollegor HÄR.

Detta är en direktrekrytering och du kommer att anställas direkt av TIQQE. Rekryteringsprocessen hanteras av Academic Work och deras önskemål är att alla frågor rörande tjänsten hanteras av Academic Work.

Du erbjuds:


* En chans att bredda dig där du får utlopp för både din tekniska kunskap och dina ledarskapsegenskaper genom utbildning
* En utsedd mentor i teamet under din introduktion för att säkerställa att du får goda förutsättningar att lyckas i din roll
* En arbetsplats med entreprenöriell anda i kombination med en prestigelös och familjär kultur


ARBETSUPPGIFTER
Som utvecklare på TIQQE kommer du arbeta med systemutveckling i AWS (Amazon Web Services) som är en molnbaserad utvecklingsplattform. Dina arbetsuppgifter innefattar programmering i såväl front- som backend, du får därmed möjligheten att bli en vass fullstackutvecklare! Systemspråken du kommer att arbeta i är Typescript eller Go.

Du kommer till exempel att arbeta med:


* Digitala tjänster i form av webbapplikationer
* Kontinuerlig optimering av AWS infrastruktuktur
* Integrationer


VI SÖKER DIG SOM
* Har erfarenhet av backend/frontend


* Har erfarenhet av Git
* Har ett stort intresse för serverless
* Goda kunskaper i engelska i både tal och skrift


 Meriterande om du har kunskap av:


* Go
* Serverless
* TypeScript
* NodeJS
* AWS Lamdba
* Distributed systems
* Andra programmeringsspråk
* Agilt arbete


Vi söker dig som är:


* Uthållig
* Samarbetsvillig
* Problemlösande
* Ansvarstagande


Som person har du ett stort kundfokus och en vilja att skapa mervärde då du hjälper kunderna att förverkliga deras idéer. Din kommunikativa förmåga är mycket god och en av dina drivkrafter är att alltid sträva efter utveckling. Som person är du ödmjuk och har inga problem med att ge din kollega en klapp på axeln och hjälper gärna till om det behövs. Samtidigt är du inte rädd att argumentera för dina åsikter och säga ifrån om det behövs.

Övrig information


* Start: Januari 2022
* Omfattning: Heltid med flex
* Placering: Gävle, remote
* Rekryteringsprocessen hanteras av Academic Work och TIQQES önskemål är att alla frågor rörande tjänsten hanteras av Academic Work.


Vi går igenom urvalet löpande och annonsen kan stängas ner innan tjänsten är tillsatt om vi gått över till urvals- och intervjufasen.

INFORMATION OM FÖRETAGET
Läs mer om TIQQE här."
28,Systemutvecklare/Programmerare,Academic Work Sweden AB,"Drömmer du om att arbeta med den senaste tekniken, är kundfokuserad och har ett hjärta som bankar lite extra för serverless? Då har du nu möjligheten att få din dröm uppfylld. TIQQE är ett ungt bolag på frammarsch som är här för att stanna och behöver nu utöka styrkan med utvecklare! Vill du vara med på deras resa och arbeta med fullstackutveckling – sök redan idag då vi arbetar med löpande urval!

OM TJÄNSTEN
TIQQE är ett specialistbolag när det kommer till molnbaserade lösningar med AWS som plattform. Här jobbar man med utveckling av kundernas digitala webbtjänster och hjälper företag att flytta sin befintliga IT-miljö upp i molnet. Du kommer att tillhöra ett företag som brinner för den senaste tekniken och att leverera ett stort kundvärde.

På TIQQE arbetar man i kundorienterade team som består av en blandning mellan juniora och seniora fullstack-utvecklare, alla med ett stort driv och hög ambition. Tillsammans med ditt team arbetar ni i olika kundprojekt med en Tech Lead som närmsta arbetsledare. Du kommer att utgå från ditt hemmakontor och sammarbeta med kollegor utspridda på olika orter. Läs med om dina framtida kollegor HÄR.

Detta är en direktrekrytering och du kommer att anställas direkt av TIQQE. Rekryteringsprocessen hanteras av Academic Work och deras önskemål är att alla frågor rörande tjänsten hanteras av Academic Work.

Du erbjuds:


* En chans att bredda dig där du får utlopp för både din tekniska kunskap och dina ledarskapsegenskaper genom utbildning
* En utsedd mentor i teamet under din introduktion för att säkerställa att du får goda förutsättningar att lyckas i din roll
* En arbetsplats med entreprenöriell anda i kombination med en prestigelös och familjär kultur


ARBETSUPPGIFTER
Som utvecklare på TIQQE kommer du arbeta med systemutveckling i AWS (Amazon Web Services) som är en molnbaserad utvecklingsplattform. Dina arbetsuppgifter innefattar programmering i såväl front- som backend, du får därmed möjligheten att bli en vass fullstackutvecklare! Systemspråken du kommer att arbeta i är Typescript eller Go.

Du kommer till exempel att arbeta med:


* Digitala tjänster i form av webbapplikationer
* Kontinuerlig optimering av AWS infrastruktuktur
* Integrationer


VI SÖKER DIG SOM
* Har erfarenhet av backend/frontend


* Har erfarenhet av Git
* Har ett stort intresse för serverless
* Goda kunskaper i engelska i både tal och skrift


 Meriterande om du har kunskap av:


* Go
* Serverless
* TypeScript
* NodeJS
* AWS Lamdba
* Distributed systems
* Andra programmeringsspråk
* Agilt arbete


Vi söker dig som är:


* Uthållig
* Samarbetsvillig
* Problemlösande
* Ansvarstagande


Som person har du ett stort kundfokus och en vilja att skapa mervärde då du hjälper kunderna att förverkliga deras idéer. Din kommunikativa förmåga är mycket god och en av dina drivkrafter är att alltid sträva efter utveckling. Som person är du ödmjuk och har inga problem med att ge din kollega en klapp på axeln och hjälper gärna till om det behövs. Samtidigt är du inte rädd att argumentera för dina åsikter och säga ifrån om det behövs.

Övrig information


* Start: Januari 2022
* Omfattning: Heltid med flex
* Placering: Hudiksvall, remote
* Rekryteringsprocessen hanteras av Academic Work och TIQQES önskemål är att alla frågor rörande tjänsten hanteras av Academic Work.


Vi går igenom urvalet löpande och annonsen kan stängas ner innan tjänsten är tillsatt om vi gått över till urvals- och intervjufasen.

INFORMATION OM FÖRETAGET
Läs mer om TIQQE här."
325,Mjukvaruutvecklare,Wrknest AB,"About the role

Wrknest is now looking for a Backend Developer to our client Nordfin in central Stockholm. Since the start, Nordfin has with their technical solutions revolutionized the invoicing and ledger accounts for their clients, through being a partner with the whole invoicing flow, including managing the requirement chain. 

As an employee at Nordfin, you'll get a fantastic opportunity to have impact and use your strengths. If you share this goal and want to join the journey, you will be provided great development and career opportunities within Nordfin. They also offer a coaching leadership and continuous educational development.

This is a recruitment, which means Wrknest is managing a large part of the recruitment process, but you will have Nordfin as employer.

Your future tasks

In the role as a Backend Developer, you will in collaboration with the development team get the freedom to adapt and impact the development of the company's platform and IT processes. They are building all their systems by themselves, which gives you a great opportunity to use your competence and previous experience to make your mark. You will primarly use .Net Core (C#) and SQL, coding in an extensively serverless architecture using Azure functions. Depending on your preferences, you will also get the chance to do some frontend work as well, so you will really grow in your preferred direction and learn from more experienced colleagues.

Your profile may look something like this

- Experience in C# and SQL, from school or work
- Passion for coding and to build automatic solutions for complicated processes
- Ability to think outside the box and to be solutions-oriented


It would be a merit if

- You have experience from a fintech company


About the company

"
